,index,Date,Team1,PTS1,Team2,PTS2,MOV
0,0,Tue Oct 25 2016,New York Knicks,88,Cleveland Cavaliers,117,-29
798,0,Tue Oct 25 2016,Cleveland Cavaliers,117,New York Knicks,88,29
1,1,Tue Oct 25 2016,San Antonio Spurs,129,Golden State Warriors,100,29
799,1,Tue Oct 25 2016,Golden State Warriors,100,San Antonio Spurs,129,-29
2,2,Tue Oct 25 2016,Utah Jazz,104,Portland Trail Blazers,113,-9
800,2,Tue Oct 25 2016,Portland Trail Blazers,113,Utah Jazz,104,9
3,3,Wed Oct 26 2016,Brooklyn Nets,117,Boston Celtics,122,-5
801,3,Wed Oct 26 2016,Boston Celtics,122,Brooklyn Nets,117,5
4,4,Wed Oct 26 2016,Dallas Mavericks,121,Indiana Pacers,130,-9
802,4,Wed Oct 26 2016,Indiana Pacers,130,Dallas Mavericks,121,9
5,5,Wed Oct 26 2016,Houston Rockets,114,Los Angeles Lakers,120,-6
803,5,Wed Oct 26 2016,Los Angeles Lakers,120,Houston Rockets,114,6
6,6,Wed Oct 26 2016,Minnesota Timberwolves,98,Memphis Grizzlies,102,-4
804,6,Wed Oct 26 2016,Memphis Grizzlies,102,Minnesota Timberwolves,98,4
805,7,Wed Oct 26 2016,Milwaukee Bucks,96,Charlotte Hornets,107,-11
7,7,Wed Oct 26 2016,Charlotte Hornets,107,Milwaukee Bucks,96,11
806,8,Wed Oct 26 2016,New Orleans Pelicans,102,Denver Nuggets,107,-5
8,8,Wed Oct 26 2016,Denver Nuggets,107,New Orleans Pelicans,102,5
807,9,Wed Oct 26 2016,Orlando Magic,96,Miami Heat,108,-12
9,9,Wed Oct 26 2016,Miami Heat,108,Orlando Magic,96,12
808,10,Wed Oct 26 2016,Philadelphia 76ers,97,Oklahoma City Thunder,103,-6
10,10,Wed Oct 26 2016,Oklahoma City Thunder,103,Philadelphia 76ers,97,6
11,11,Wed Oct 26 2016,Sacramento Kings,113,Phoenix Suns,94,19
809,11,Wed Oct 26 2016,Phoenix Suns,94,Sacramento Kings,113,-19
12,12,Wed Oct 26 2016,Detroit Pistons,91,Toronto Raptors,109,-18
810,12,Wed Oct 26 2016,Toronto Raptors,109,Detroit Pistons,91,18
13,13,Thu Oct 27 2016,Washington Wizards,99,Atlanta Hawks,114,-15
811,13,Thu Oct 27 2016,Atlanta Hawks,114,Washington Wizards,99,15
14,14,Thu Oct 27 2016,Boston Celtics,99,Chicago Bulls,105,-6
812,14,Thu Oct 27 2016,Chicago Bulls,105,Boston Celtics,99,6
813,15,Thu Oct 27 2016,Portland Trail Blazers,106,Los Angeles Clippers,114,-8
15,15,Thu Oct 27 2016,Los Angeles Clippers,114,Portland Trail Blazers,106,8
16,16,Thu Oct 27 2016,San Antonio Spurs,102,Sacramento Kings,94,8
814,16,Thu Oct 27 2016,Sacramento Kings,94,San Antonio Spurs,102,-8
815,17,Fri Oct 28 2016,Brooklyn Nets,103,Indiana Pacers,94,9
17,17,Fri Oct 28 2016,Indiana Pacers,94,Brooklyn Nets,103,-9
18,18,Fri Oct 28 2016,Houston Rockets,106,Dallas Mavericks,98,8
816,18,Fri Oct 28 2016,Dallas Mavericks,98,Houston Rockets,106,-8
817,19,Fri Oct 28 2016,Detroit Pistons,108,Orlando Magic,82,26
19,19,Fri Oct 28 2016,Orlando Magic,82,Detroit Pistons,108,-26
20,20,Fri Oct 28 2016,Charlotte Hornets,97,Miami Heat,91,6
818,20,Fri Oct 28 2016,Miami Heat,91,Charlotte Hornets,97,-6
21,21,Fri Oct 28 2016,Golden State Warriors,122,New Orleans Pelicans,114,8
819,21,Fri Oct 28 2016,New Orleans Pelicans,114,Golden State Warriors,122,-8
22,22,Fri Oct 28 2016,Phoenix Suns,110,Oklahoma City Thunder,113,-3
820,22,Fri Oct 28 2016,Oklahoma City Thunder,113,Phoenix Suns,110,3
821,23,Fri Oct 28 2016,Toronto Raptors,91,Cleveland Cavaliers,94,-3
23,23,Fri Oct 28 2016,Cleveland Cavaliers,94,Toronto Raptors,91,3
822,24,Fri Oct 28 2016,Utah Jazz,96,Los Angeles Lakers,89,7
24,24,Fri Oct 28 2016,Los Angeles Lakers,89,Utah Jazz,96,-7
823,25,Sat Oct 29 2016,Chicago Bulls,118,Indiana Pacers,101,17
25,25,Sat Oct 29 2016,Indiana Pacers,101,Chicago Bulls,118,-17
26,26,Sat Oct 29 2016,Boston Celtics,104,Charlotte Hornets,98,6
824,26,Sat Oct 29 2016,Charlotte Hornets,98,Boston Celtics,104,-6
825,27,Sat Oct 29 2016,Cleveland Cavaliers,105,Orlando Magic,99,6
27,27,Sat Oct 29 2016,Orlando Magic,99,Cleveland Cavaliers,105,-6
826,28,Sat Oct 29 2016,Denver Nuggets,113,Portland Trail Blazers,115,-2
28,28,Sat Oct 29 2016,Portland Trail Blazers,115,Denver Nuggets,113,2
827,29,Sat Oct 29 2016,Milwaukee Bucks,110,Brooklyn Nets,108,2
29,29,Sat Oct 29 2016,Brooklyn Nets,108,Milwaukee Bucks,110,-2
30,30,Sat Oct 29 2016,Memphis Grizzlies,104,New York Knicks,111,-7
828,30,Sat Oct 29 2016,New York Knicks,111,Memphis Grizzlies,104,7
829,31,Sat Oct 29 2016,Philadelphia 76ers,72,Atlanta Hawks,104,-32
31,31,Sat Oct 29 2016,Atlanta Hawks,104,Philadelphia 76ers,72,32
32,32,Sat Oct 29 2016,Minnesota Timberwolves,103,Sacramento Kings,106,-3
830,32,Sat Oct 29 2016,Sacramento Kings,106,Minnesota Timberwolves,103,3
33,33,Sat Oct 29 2016,New Orleans Pelicans,79,San Antonio Spurs,98,-19
831,33,Sat Oct 29 2016,San Antonio Spurs,98,New Orleans Pelicans,79,19
832,34,Sun Oct 30 2016,Detroit Pistons,98,Milwaukee Bucks,83,15
34,34,Sun Oct 30 2016,Milwaukee Bucks,83,Detroit Pistons,98,-15
35,35,Sun Oct 30 2016,Dallas Mavericks,92,Houston Rockets,93,-1
833,35,Sun Oct 30 2016,Houston Rockets,93,Dallas Mavericks,92,1
834,36,Sun Oct 30 2016,Los Angeles Clippers,88,Utah Jazz,75,13
36,36,Sun Oct 30 2016,Utah Jazz,75,Los Angeles Clippers,88,-13
37,37,Sun Oct 30 2016,Washington Wizards,103,Memphis Grizzlies,112,-9
835,37,Sun Oct 30 2016,Memphis Grizzlies,112,Washington Wizards,103,9
38,38,Sun Oct 30 2016,San Antonio Spurs,106,Miami Heat,99,7
836,38,Sun Oct 30 2016,Miami Heat,99,San Antonio Spurs,106,-7
39,39,Sun Oct 30 2016,Los Angeles Lakers,96,Oklahoma City Thunder,113,-17
837,39,Sun Oct 30 2016,Oklahoma City Thunder,113,Los Angeles Lakers,96,17
40,40,Sun Oct 30 2016,Golden State Warriors,106,Phoenix Suns,100,6
